Fecha,IPC
01/01/2000,6585.67
01/02/2000,7368.55
01/03/2000,7473.25
01/04/2000,6640.68
01/05/2000,5961.14
01/06/2000,6948.33
01/07/2000,6514.21
01/08/2000,6664.82
01/09/2000,6334.56
01/10/2000,6394.24
01/11/2000,5652.63
01/12/2000,5652.19
01/01/2001,6496.89
01/02/2001,6032.1
01/03/2001,5727.89
01/04/2001,5987.25
01/05/2001,6595.39
01/06/2001,6666.17
01/07/2001,6474.4
01/08/2001,6310.7
01/09/2001,5403.53
01/10/2001,5537.04
01/11/2001,5832.83
01/12/2001,6372.28
01/01/2002,6927.87
01/02/2002,6734.44
01/03/2002,7361.86
01/04/2002,7480.74
01/05/2002,7031.64
01/06/2002,6460.95
01/07/2002,6021.84
01/08/2002,6216.43
01/09/2002,5728.46
01/10/2002,5967.73
01/11/2002,6156.83
01/12/2002,6127.09
01/01/2003,5954.35
01/02/2003,5927.06
01/03/2003,5914.03
01/04/2003,6509.88
01/05/2003,6699.18
01/06/2003,7054.99
01/07/2003,7355.07
01/08/2003,7591.42
01/09/2003,7822.48
01/10/2003,8064.83
01/11/2003,8554.48
01/12/2003,8795.28
01/01/2004,9428.77
01/02/2004,9991.8
01/03/2004,10517.5
01/04/2004,9948.13
01/05/2004,10036.29
01/06/2004,10281.82
01/07/2004,10116.39
01/08/2004,10264.32
01/09/2004,10957.37
01/10/2004,11564.35
01/11/2004,12102.55
01/12/2004,12917.88
01/01/2005,13097.12
01/02/2005,13789.46
01/03/2005,12676.9
01/04/2005,12322.99
01/05/2005,12964.39
01/06/2005,13486.13
01/07/2005,14409.66
01/08/2005,14243.19
01/09/2005,16120.08
01/10/2005,15759.73
01/11/2005,16830.96
01/12/2005,17802.71
01/01/2006,18907.1
01/02/2006,18706.32
01/03/2006,19272.63
01/04/2006,20646.19
01/05/2006,18677.92
01/06/2006,19147.17
01/07/2006,20095.93
01/08/2006,21049.35
01/09/2006,21937.11
01/10/2006,23046.95
01/11/2006,24962.01
01/12/2006,26448.32
01/01/2007,27561.49
01/02/2007,26638.95
01/03/2007,28747.69
01/04/2007,28996.71
01/05/2007,31398.96
01/06/2007,31151.05
01/07/2007,30659.66
01/08/2007,30347.86
01/09/2007,30296.19
01/10/2007,31458.67
01/11/2007,29770.52
01/12/2007,29536.83
01/01/2008,28793.64
01/02/2008,28918.52
01/03/2008,30912.99
01/04/2008,30281.41
01/05/2008,31975.47
01/06/2008,29395.49
01/07/2008,27501.02
01/08/2008,26290.99
01/09/2008,24888.9
01/10/2008,20445.32
01/11/2008,20534.72
01/12/2008,22380.32
01/01/2009,19565.14
01/02/2009,17752.18
01/03/2009,19626.75
01/04/2009,21898.85
01/05/2009,24331.71
01/06/2009,24368.38
01/07/2009,27043.5
01/08/2009,28129.95
01/09/2009,29232.24
01/10/2009,28646.03
01/11/2009,30957.11
01/12/2009,32120.47
01/01/2010,30391.61
01/02/2010,31634.54
01/03/2010,33266.43
01/04/2010,32687.32
01/05/2010,32038.53
01/06/2010,31156.97
01/07/2010,32308.74
01/08/2010,31679.85
01/09/2010,33330.34
01/10/2010,35568.22
01/11/2010,36817.32
01/12/2010,38550.79
01/01/2011,36982.24
